layer,kl_mean,kl_std,method,model
27,14.497814,4.5581965,gptq,google_gemma-3-12b-it
28,14.147623,4.649688,gptq,google_gemma-3-12b-it
29,13.270305,4.7783217,gptq,google_gemma-3-12b-it
30,13.220257,4.7915316,gptq,google_gemma-3-12b-it
31,13.087306,4.7508926,gptq,google_gemma-3-12b-it
32,13.075632,4.6091027,gptq,google_gemma-3-12b-it
33,12.552515,4.5896435,gptq,google_gemma-3-12b-it
34,12.535121,4.371707,gptq,google_gemma-3-12b-it
35,12.22997,4.418107,gptq,google_gemma-3-12b-it
36,12.368387,4.2498283,gptq,google_gemma-3-12b-it
37,12.567442,4.379919,gptq,google_gemma-3-12b-it
38,12.841918,4.099815,gptq,google_gemma-3-12b-it
39,13.561738,4.0542746,gptq,google_gemma-3-12b-it
40,13.42812,4.1359997,gptq,google_gemma-3-12b-it
41,13.462031,4.642267,gptq,google_gemma-3-12b-it
42,13.319175,4.6522117,gptq,google_gemma-3-12b-it
43,13.965678,4.4305425,gptq,google_gemma-3-12b-it
44,13.487725,4.152526,gptq,google_gemma-3-12b-it
45,12.890547,4.666024,gptq,google_gemma-3-12b-it
46,12.881277,4.955709,gptq,google_gemma-3-12b-it
47,13.913976,5.006482,gptq,google_gemma-3-12b-it
0,14.676726,6.7637014,awq,google_gemma-3-4b-it
1,16.833265,5.0909204,awq,google_gemma-3-4b-it
2,18.13669,4.010309,awq,google_gemma-3-4b-it
3,18.35034,4.1047206,awq,google_gemma-3-4b-it
4,18.847195,3.4752328,awq,google_gemma-3-4b-it
5,18.803381,3.5123653,awq,google_gemma-3-4b-it
6,18.405346,3.7863445,awq,google_gemma-3-4b-it
7,16.895054,5.2570353,awq,google_gemma-3-4b-it
8,16.890451,5.104398,awq,google_gemma-3-4b-it
9,16.962217,4.980767,awq,google_gemma-3-4b-it
10,17.391066,4.8073072,awq,google_gemma-3-4b-it
11,16.837461,5.1784005,awq,google_gemma-3-4b-it
12,16.561592,5.0441275,awq,google_gemma-3-4b-it
13,16.09423,5.2463417,awq,google_gemma-3-4b-it
